what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1488773870317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1488773870506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1488773872516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773880984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773882237
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488773883905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773885112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773885398
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488773900597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1488773903171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488773905619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773906761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773907719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773908271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773908953
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1488773915047
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1488773935533
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1488773938746
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488773990552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773991698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488773991932
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1488773993681
